,Date,Open,High,Low,Close,Adj Close,Volume
122,2018-05-04,18.26,19.48,18.18,19.33,17.142817,46146400.0
123,2018-05-11,19.4,19.49,19.110001,19.32,17.133951,47540600.0
124,2018-05-18,19.26,19.6,18.809998999999998,19.139999,16.974318,49400300.0
125,2018-05-25,19.040001,19.1,18.0,18.24,16.176151,44127800.0
126,2018-06-01,18.540001,19.32,18.48,19.059998999999998,16.903368,39396800.0
127,2018-06-08,19.049999,19.25,18.51,18.620001000000002,16.590721,54497200.0
128,2018-06-15,18.51,19.15,18.299999,18.92,16.858025,61358800.0
129,2018-06-22,19.059998999999998,19.110001,17.74,17.99,16.029383,57414500.0
130,2018-06-29,18.280001000000002,18.379998999999998,17.42,17.459999,15.557143,48921800.0
131,2018-07-06,17.42,18.17,17.200001,17.52,15.610605,51703100.0
132,2018-07-13,17.48,18.110001,17.07,17.620001000000002,15.699705999999999,62000300.0
133,2018-07-20,17.5,18.530001000000002,17.27,18.389999,16.385788,71718100.0
134,2018-07-27,18.42,19.190001000000002,18.34,19.07,16.99168,62933200.0
135,2018-08-03,19.059998999999998,19.440001000000002,18.93,19.280001000000002,17.178795,48400900.0
136,2018-08-10,19.059998999999998,19.49,18.950001,19.4,17.285713,49576800.0
137,2018-08-17,19.360001,19.709999,19.26,19.34,17.232254,40356200.0
138,2018-08-24,19.440001000000002,19.620001000000002,19.219998999999998,19.35,17.241160999999998,42276900.0
139,2018-08-31,19.25,19.99,19.18,19.58,17.446096,36133900.0
140,2018-09-07,19.790001,19.799999,18.809998999999998,18.870001000000002,16.932423,50839900.0
141,2018-09-14,18.91,19.549999,18.82,19.49,17.48876,56007000.0
142,2018-09-21,19.5,19.549999,18.52,18.540001,16.636305,53427400.0
143,2018-09-28,18.450001,18.93,18.02,18.67,16.752958,65131100.0
144,2018-10-05,18.77,18.83,17.68,17.74,15.918448000000001,53084700.0
145,2018-10-12,17.969998999999998,18.0,16.93,17.040001,15.290328,76962700.0
146,2018-10-19,17.0,17.27,15.42,16.059998999999998,14.410951999999998,104689700.0
147,2018-10-26,15.84,17.27,15.75,17.209999,15.442867999999999,87352900.0
148,2018-11-02,17.389999,17.879998999999998,17.059998999999998,17.67,15.855638,56459000.0
